character,language,reading,usage,word_example,is_default_for_display,source,source_property,review_status
魔,zh-Hant-TW,mó,,,false,unicode-unihan-17@17.0.0:kMandarin,kMandarin,source-attested-unreviewed
蠶,yue-HK,caam4,,,false,unicode-unihan-17@17.0.0:kCantonese,kCantonese,source-attested-unreviewed
蠶,zh-Hant-TW,cán,,,false,unicode-unihan-17@17.0.0:kMandarin,kMandarin,source-attested-unreviewed
几,yue-HK,gei1,,,false,unicode-unihan-17@17.0.0:kCantonese,kCantonese,source-attested-unreviewed
几,zh-Hant-TW,jǐ,,,false,unicode-unihan-17@17.0.0:kMandarin,kMandarin,source-attested-unreviewed
几,zh-Hant-TW,jī,attested-count:216,,false,unicode-unihan-17@17.0.0:kHanyuPinlu,kHanyuPinlu,source-attested-unreviewed
吁,yue-HK,heoi1,,,false,unicode-unihan-17@17.0.0:kCantonese,kCantonese,source-attested-unreviewed
吁,zh-Hant-TW,xū,,,false,unicode-unihan-17@17.0.0:kMandarin,kMandarin,source-attested-unreviewed
吁,zh-Hant-TW,yù,attested-count:12,,false,unicode-unihan-17@17.0.0:kHanyuPinlu,kHanyuPinlu,source-attested-unreviewed
圳,yue-HK,zan3,,,false,unicode-unihan-17@17.0.0:kCantonese,kCantonese,source-attested-unreviewed
圳,zh-Hant-TW,zhèn,,,false,unicode-unihan-17@17.0.0:kMandarin,kMandarin,source-attested-unreviewed
圳,zh-Hant-TW,quǎn,,,false,unicode-unihan-17@17.0.0:kHanyuPinyin,kHanyuPinyin,source-attested-unreviewed
圳,zh-Hant-TW,chóu,,,false,unicode-unihan-17@17.0.0:kHanyuPinyin,kHanyuPinyin,source-attested-unreviewed
圳,zh-Hant-TW,huái,,,false,unicode-unihan-17@17.0.0:kHanyuPinyin,kHanyuPinyin,source-attested-unreviewed
圭,yue-HK,gwai1,,,false,unicode-unihan-17@17.0.0:kCantonese,kCantonese,source-attested-unreviewed
圭,zh-Hant-TW,guī,,,false,unicode-unihan-17@17.0.0:kMandarin,kMandarin,source-attested-unreviewed
宅,yue-HK,zaak6,,,false,unicode-unihan-17@17.0.0:kCantonese,kCantonese,source-attested-unreviewed
宅,zh-Hant-TW,zhái,,,false,unicode-unihan-17@17.0.0:kMandarin,kMandarin,source-attested-unreviewed
宅,zh-Hant-TW,chè,,,false,unicode-unihan-17@17.0.0:kHanyuPinyin,kHanyuPinyin,source-attested-unreviewed
宅,zh-Hant-TW,dù,,,false,unicode-unihan-17@17.0.0:kHanyuPinyin,kHanyuPinyin,source-attested-unreviewed
佛,yue-HK,fat6,,,false,unicode-unihan-17@17.0.0:kCantonese,kCantonese,source-attested-unreviewed
佛,yue-HK,fat1,mandarin-mapping:fú,,false,unicode-unihan-17@17.0.0:kSMSZD2003Readings,kSMSZD2003Readings,source-attested-unreviewed
佛,zh-Hant-TW,fú,,,false,unicode-unihan-17@17.0.0:kMandarin,kMandarin,source-attested-unreviewed
佛,zh-Hant-TW,bó,,,false,unicode-unihan-17@17.0.0:kHanyuPinyin,kHanyuPinyin,source-attested-unreviewed
