character,foxchild_selection_rank,moe_frequency_rank,hk_frequency_rank,edb_presence,edb_source_glyph,unihan_definition,suggested_category,cangjie,quick,reading_count,decomposition_status,top_level_operator,register_review_status,review_tasks,review_priority_band
令,736,743,,true,令,"command, order; 'commandant', magistrate; allow, cause",general,OINI,OI,7,source-attested-unreviewed,⿱,unreviewed,hk-selection|learner-definition|category|display-reading|register|curriculum-priority,remaining
武,737,744,,true,武,"military; martial, warlike",general,MPYLM,MM,2,source-attested-unreviewed,⿹,unreviewed,hk-selection|learner-definition|category|display-reading|register|curriculum-priority,remaining
香,738,745,,true,香,"fragrant, sweet-smelling; incense; Kangxi radical 186",general,HDA,HA,2,source-attested-unreviewed,⿱,unreviewed,hk-selection|learner-definition|category|display-reading|register|curriculum-priority,remaining
游,739,746,,true,游,"to swim; float, drift; wander, roam",general,EYSD,ED,3,source-attested-unreviewed,⿰,unreviewed,hk-selection|learner-definition|category|display-reading|register|curriculum-priority,remaining
藍,740,747,,true,藍,blue; indigo plant; surname,people,TSIT,TT,2,source-attested-unreviewed,⿱,unreviewed,hk-selection|learner-definition|category|display-reading|register|curriculum-priority,remaining
護,741,748,,true,護,"protect, guard, defend, shelter",general,YRTOE,YE,2,source-attested-unreviewed,⿰,unreviewed,hk-selection|learner-definition|category|display-reading|register|curriculum-priority,remaining
引,742,749,,true,引,"to pull, draw out, attract; to stretch",general,NL,NL,2,source-attested-unreviewed,⿰,unreviewed,hk-selection|learner-definition|category|display-reading|register|curriculum-priority,remaining
屋,743,750,,true,屋,"house; room; building, shelter",general,SMIG,SG,2,source-attested-unreviewed,⿸,unreviewed,hk-selection|learner-definition|category|display-reading|register|curriculum-priority,remaining
烈,744,751,,true,烈,"fiery, violent, vehement, ardent",general,MNF,MF,2,source-attested-unreviewed,⿱,unreviewed,hk-selection|learner-definition|category|display-reading|register|curriculum-priority,remaining
環,745,752,,true,環,jade ring or bracelet; ring,general,MGWLV,MV,3,source-attested-unreviewed,⿰,unreviewed,hk-selection|learner-definition|category|display-reading|register|curriculum-priority,remaining
鐘,746,753,,true,鐘,clock; bell,general,CYTG,CG,2,source-attested-unreviewed,⿰,unreviewed,hk-selection|learner-definition|category|display-reading|register|curriculum-priority,remaining
